Name,ID,Preferred Address City,Preferred Address State Code
Cognizant,3440,Teaneck,New Jersey
Cogstate,5580,New Haven,CT
COI CENTRO ONCOLOGICO INTERNACIONAL S.AP.I de C.V,6010,Tlajomulco de zuñiga,
Coleman Clinical Research,5734,Ellicott City,MD
"Collaborative Neuroscience Network, LLC",3199,Garden Grove,CA
Colorado Springs Health Partners - Briargate/Clinical Research Advantage,4304,,
Colorado Springs Health Partners - East/Clinical Research Advantage,4303,,
Colorado Springs Health Partners - Southwest/Clinical Research A,4315,,
Colorado Springs Health Partners(Barnes Road) - Radiant Research,4616,Colorado Springs,Colorado
Colorado Springs Health Partners(Research Parkway) - Radiant Research,4614,Colorado Springs,Colorado
Colorado Springs Health Partners(Tenderfoot Road) - Radiant Research,4615,Colorado Springs,Colorado
Columbia Medical Practice - RxTrials Partner Site,2721,Columbia,MD
"Columbia Research Group, Inc.",5533,Portland,OR
Columbia University Medical Center,3244,New York,New York
Columbia University-Dept. of Surgery Clinical Research Core,3033,New York,NY
Columbus Clinical Research,4463,Columbus,Ohio
"Columbus Clinical Services, LLC",3894,Miami,FL
Comac Medical Ltd.,4923,Sofia,
Combined Research Orlando Phase I-IV,3579,Orlando,Florida
Communal Enterprise “Hospital #1” of Zhytomyr City Council,4150,Zhytomyr,
"Communal nonprofit enterprise ""Vinnytsya regional Clinical Hospital named after. N.I. Pirogov Vinnytsia Regional Council""",5751,Vinnytsia,
"Communal Nonprofit Enterprise “City Hospital #6” Zaporizhzhia City Council, Therapy department",5946,Zaporizhzhia,
Community Clinical Research,5882,Austin,TX
Community Health Network,5818,Anderson,IN
Company Name,2683,,
Complete Health Research,5908,Birmingham,AL
CompletePhaseConsulting,5979,Rippleside,Victoria
Complion,5600,,
Comprehensive Clinical Trials,3932,West Palm Beach,FL
Comprehensive Clinical Trials LLC,3102,Wellington,FL
Comprehensive Internal Medicine,5998,Wooster,OH
Confluence Health,2436,Wenatchee,WA
Connecticut Clinical Trials LLC,4090,Cromwell,CT
Conquest Clinical Research,5805,Orange,CA
"Consumer Product Testing Company, Inc.",5941,Fairfield,NJ
Convex CRC,5760,Sofia,Sofia City
Cook Children's Health Care System,4369,Fort Worth,Texas
Core Healthcare Group,3170,Cerritos,CA
Corning Center for Clinical Research,3459,Corning,NY
Coronella Medical Center,4042,Gyula,
Cottage Health Research Institute,4255,Santa Barbara,CA
Countess of Chester NHS Foundation Trust,3981,Chester,Cheshire
County Durham & Darlington NHS Foundation Trust,3206,Darlington,County Durham
Covance India Pharmaceutical Service Private Ltd,5746,Bengaluru,
"Covance, Inc",3346,Princeton,NJ
Covenant Medical Center,3178,Saginaw,MI
Coventry and Warwickshire Partnership NHS Trust,5457,Coventry,
CPi Global,3946,Princeton,NJ
CPL Australia,6006,Melbourne,
Creative Touch Coaching & Training,3428,Croydon,NSW
Cripps Health Centre,3764,Nottingham,Nottinghamshire
CRN West Midlands Primary Care,3995,Stafford,Staffordshire
CRN West of England,4237,Bristol,Bristol
CRN: North East and North Cumbria,3343,Newcastle upon Tyne,Tyne and Wear
CRNEAST Midlands,3959,Nottingham,Nottinghamshire
CRO,5483,n/a,
Crossroads Clinical Research,2528,Victoria,TX
CRU Hungary Ltd.,5555,Singapore,
CSI Research,2912,Alpharetta,Georgia
CSL Behring,4263,King of Prussia,Pa
CSSi LifeSciences,4021,Budapest,.
CTCenter MaVe s.r.o.,3188,Samotišky,Czech republic
CTI Clinical Research Center,5444,Cincinnati,OH
"CTI, Clinical Trial & Consulting",5443,Cincinnati,OH
CTMD Research,5890,West Palm Beach,FL
CTSU,3110,Liverpool,NSW
CTTI,5536,durham,NC
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",5887,Newcastle,Tyne and wear
Curavit Clinical Research,5793,SCARSDALE,NY
Curtin University,3951,Perth,Western Australia
Dallas VA Research Corporation,3516,Dallas,TX
"Dawes Fretzin Clinical Research Group, LLC",2745,Indianapolis,IN
"Dayton Gastroenterology, Inc.",3036,Beavercreek,OH
Dayton Veterans Affairs Research and Education Foundation,3517,Dayton,OH
DBC Research USA,3107,Pembroke Pines,FLORIDA
DCOL Center for Clinical Research,4376,Longview,TX
DDm,5888,Utica,NY
Dedicated Site Solutions,5470,Hellertown,PA
Deep Lens,5827,Columbus,OH
Del Sol Research Management LLC,2730,Tucson,AZ
Deleon Research,3042,Plano,Texas
DelRicht Research,3485,New Orleans,LA
"Delta Clinical Research, LLC",4267,Mobile,AL
Deluxe Health Center,6066,Miami Lakes,FL
Delve Health,5670,Minneapolis,MN
Denver Research Institute,3518,Denver,CO
"Department of Ophthalmology, Cambridge University NHS Foundation Trust",4114,Cambridge,Cambridgeshire
Department on internal medicine 1,3693,Dnipro,Dniproprtrovsk
Derm Center,3712,Troy,MI
Dermatology Research Institute,6037,Airdrie,AB
DESBONNET RECHERCHE,3013,DOUAI,NORD
"Desert Clinical Research, LLC - Radiant Research",4309,Mesa,Arizona
Devon Partnership Trust,4054,Exeter,Devon
Diablo Clinical Research,2624,Walnut Creek,CA
Diagnostics Research Group,2380,San Antonio,TX
Diex recherche,6090,Victoriaville,QC
Diex Research,5990,Québec,QC
Dignity Health,6039,Chandler,AZ
"DiscoveResearch, Inc.",3936,Beaumont,TX
DM Clinical Research,2469,Tomball,TX
DMI Research,2588,Pinellas Park,FL
DMRA Private Practice and Research Center,3886,21042,
DOC CLINICAL RESEARCH,5480,Dayton,OH
Doctors of Internal Medicine - Radiant Research,4605,Plano,Texas
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,5458,Doncaster,South yorkshire
Dorn Research Institute,3514,Columbia,SC
Dorset County Hospital,3795,Dorchester,Dorset
Downtown Women's Health Care,3620,Denver,CO.
Doylestown Hospital,5780,Doylestown,PA
Dr Peter Georgius,3114,Noosa Heads,QLD
Dr. Caroline Mbogua- Synergy Group US LLC,5654,Houston,TX
Dr. Deirdre McMullen-Synergy Group US LLC,5655,Missouri City,TX
Dr. Dilawar Ajani-Synergy Group US LLC,5644,Katy,TX
Dr. Sheila Woodhouse Heart Specialist,3462,Lawrenceville,Georgia
DRC,5936,Winter Park,FL
DRC Kft,4023,Balatonfüred,.
DRC Kft.,5965,Balatonfüred,Veszprém
DRC LLC,4041,Balatonfüred,
Dream Team Clinical Research,3168,Anaheim,CA
Driven Research LLC,6019,Coral Gables,FL
DrugDev,2690,London,United Kingdom
Duke University Medical Center,2786,Durham,NC
Durham Nephrology Associates,5627,Durham,NC
East and North Hertfordshire NHS Trust,3787,Stevenage,Hertfordshire
East Bay Institute for Research & Education,3536,Mather,CA
East Cheshire NHS Trust,5729,Macclesfield,Cheshire
"East Coast Institute for Research, LLC",4213,Jacksonville,Florida
East Kent Hospitals University NHS Foundation Trust,3765,Canterbury,Kent
"East Valley Family Physicians, PLC - Radiant Research",4308,Chandler,Arizona
Eastern Carolina Women's Center,2470,New Bern,NC
"Eastern Clinical Research Unit, Monash University",3136,Box Hill,Victoria
"Eastern Research, Inc.",3930,Hialeah,Florida
Eclipse Clinical Research,5901,Tucson,AZ
"EFERTUS medical, s.r.o.",5737,Prague,
Egin Research,5948,High Wycombe,Buckinghamshire
Egyesített Szent István és Szent László Kórház Gyermekinfektologia,3299,,Budapest
Eladio,3661,Miami,FL
Element Research Group,5704,San Antonio,TX
Eli Lilly and Company,2540,Indianapolis,IN
Elite Research Network,2523,Mt. Pleasant,SC
Elligo Health Research,3639,Austin,TX
EMD Serono,3204,,
Emerald Coast Research Associates,2628,Panama City,FL
Emergency Department,4059,Cambridge,Cambridgeshire
Emergency Medicine Research RI Hospital,5750,Providence,RI
Emeritus Research Pty Ltd,4814,Camberwell,Victoria
Emerson Clinical Research Institute,2755,Falls Church,VA 
Emovis,3194,Berlin,Berlin
En Chu Kong Hospital,3844,New Taipei City,
Endeavor Clinical Trials,2536,San Antonio,Texas
Endo Pharmaceuticals,5884,Malvern,PA
Enloe Regional Cancer Center,5756,Chico,CA
Envision Physician Services (Sheridan Clinical Research),2561,Plantation,Florida
Epworth HealthCare,4205,Victoria,
EQRx,6050,Cambridge,MA
EQRx,6091,Cambridge,MA
Esromrx,5578,Scarsdale,NY
Essentia Institute of Rural Health,3989,Duluth,MN
Essex Partnership University NHS Foundation Trust,5420,Epping,
ESZSZK,4031,Budapest,
ETG Network,4146,Warsaw,PL
Ethicsready Pty Ltd,3643,New Farm,QLD
EuroMedis,3808,Szczecin,Zachodniopomorskie
Evolution Research Group,3909,New Providence,NJ
Excel Diagnostics & Nuclear oncology center,5607,Houston,TX
"Excel Medical Clinical Trials, LLC",5614,Boca Raton,FL
Exostar,5673,Herndon,VA
"Eye Care Centers Management, Inc. (Clayton Eye Center)",3142,Morrow,Georgia
"Eyecenter, University of Freiburg",3455,Freiburg im Breisgau,Baden-Württenberg
"Eyesight Ophthalmic Services, PA",3376,Portsmouth,NH
Fachklinik Hornheide,5714,D48157 Münster,
Factor Consulting Sp. z o.o.,5482,Tarnów,
FACULTY HOSPITAL,2802,PRAGUE 2,
Fairfield General Hospital Trust,3943,Bury,Manchester
Family Care Research,5819,Meridian,ID
Family Medical Specialists of Florida,5728,Plant City,FL
Family Medicine Associates/Clinical Research Advantage,4317,Evansville,Indiana
Family Medicine of SayeBrook,4572,,
Family Practice Specialists/Clinical Research Advantage,4607,Phoenix,Arizona
Far Eastern Memorial Hospital,4165,Taichuna,
Federacja Pacjentów Polskich,3809,Warsaw,
FEDERAL MEDICAL CENTER,2803,ABEOKUTA,
Female Pelvic Medicine & Urogynecology Institute of Michigan,2473,Grand Rapids,MI
"Fiel Family and Sports Medicine, PC - Radiant Research",4310,Tempe,Arizona
Finger Lakes Clinical Research,4152,Rochester,NY
FIRST AFFILIATED HOSPITAL OF XI'AN JIAOTONG UNIVERSITY,2804,SHAANXI,
"First Choice Insurance Intermediaries, Inc.",2378,Ponte Vedra Beach,Florida
"First Urology, PSC",3372,Jeffersonville,IN.
Fisher Clinical Services,3356,,
"FJS Biomedical Consulting, LLC",5498,Chagrin Falls,OH
Fleming Island Center for Clinical Research,5366,,
Flinders Medical Centre,4197,South Australia,
Florence Healthcare,5568,Atlanta,GA
Florey Institute,3436,Heidelberg,Vic
Florida Atlantic University College of Medicine,3922,Boca Raton,FL
Florida Cancer Specialists,5695,Sarasota,FL
"Florida Institute For Clinical Research, LLC",3029,Orlando,FL
Florida International Research Center - FIRC,4105,Miami,FL
Florida Premier Research Institute,2474,Winter Park,FL
Florida Research Institute,3702,Lakewood Ranch,FL
"Florida Research Network, LLC",2384,Gainesville,FL
floridian research,6074,Miami,FL
"FOCUS & BALANCE RESEARCH, LLC",2935,San Antonio,Texas
Fogarty Clinical Research Inc,4324,Mountain View,California
"FOMAT Medical Research, INC.",5738,Oxnard,CA
Fondazione S. Maugeri,3147,Pavia,Pavia
Foot and Ankle Center of Illinois,3948,Springfield,Illinois
Foot and Ankle Clinic,3020,LOS ANGELES,CA
ForCare Clinical Research,3742,Tampa,FL
"Forte Research Systems, Inc.",2590,Madison,WI
Foundation for Advancing Veterans’ Health Research,3557,San Antonio,TX
Fox Chase Cancer Center,5937,Philadelphia,PA
Fox Chase Comprehensive Cancer Center,5684,Philadelphia,PA
Fraser Clinical Trials Inc.,3009,New Westminster,British Columbia
Fred Hutchinson Cancer Research Center,3246,Seattle,Washington
Freemire,5636,Parkville,MD
Frenova Renal Research,3247,Waltham,Massachusetts
freyrsolutions,6026,hyderabad,TN
Frimley Park NHS Foundation Trust,3766,Camberly,Surrey
"Frontier Clinical Research, LLC",3952,Smithfield,PA
Fu Jen Catholic University,3845,New Taipei City,
Fundacion Clinica Shaio,3696,Bogotá,Cundinamarca
Fundacion de Investigacion de Diego,3374,San Juan,PR
Fundación Estudios Clínicos,3139,Rosario,Santa Fe
Fundación Hospital Infantil Universitario De San José,3691,Bogotá,Colombia
Futuro Clinical Trials,2916,McAllen,TX
Gadolin Research,3939,Beaumont,TX
Galen Medical Group,5547,Hixson,TN
Gallipoli Medical Research Foundation,2960,Greenslopes,Queensland
Gary J Maguire,6086,Bellevue,WA
Gastro Health Research,2666,Miami,FL
GATEWAY FOR CANCER RESEARCH,2805,SCHAUMBURG,IL
"GCM Medical Group, PSC",3883,San Juan,PR
"GCP Clinical Research, LLC",3129,Tampa,FL
gcpa,5881,aurangabad,Maharashtra
Geisinger Health System,4088,Danville,Pennsylvania
GENELYTICA Sp. z o.o.,6089,Warszawa (mokotów),
Genentech,5605,San Jose,CA
"General Clinical Research Center, University of Maryland",3104,Baltimore,MD
Genesis Care,5569,East Melbourne,
Genesis Care,4209,Alexandria,NSW
"Genesis Research Center,LLC",5581,Miami,FL
Genesis Research LLC,2893,San Diego,CA
Genesis Research Services,3900,Broadmmeadow,NSW
GenesisCare,5572,Auchenflower,Qld
Genesys Fertility Center,2981,Bucharest,NA
Genesys Regional Medical Center (Ascension-Genesys Hospital Office of Research,3410,Grand Blanc,MI
GenHarp Clinical Solutions,6124,Chicago,IL
George Eliot Hospital NHS Trust,4112,Nuneaton,Warwickshire
GEORGE MASON UNIVERSITY,2806,MANASSAS,VA
Georgetown University Hospital,2355,morrisville,NC
Georgetown University Medical Center,5903,Washington,DC
Georgia Arrhythmia Consultants and Research Institute,3464,Macon,GA
GEORGIA REGENTS UNIVERSITY AND CANCER CENTER,2807,AUGUSTA,GA
Geriatrics & Family Medicine Center,3365,Columbus,GA
Glacier View Research Institute,3407,Kalispell,MT
GlaxoSmithKline,3478,Collegeville,PA
Global Alzheimer's Platform Foundat,5663,Washington,DC
Global Alzheimer's Platform Foundation,5662,Washington,DC
Global Clinical Professionals,3338,Miami,FL
Global Clinical Trials,3341,Irvine,California
GLOBAL MEDICAL INSTITUTES LLC,3438,Princeton,NJ
GlobalCare Clinical Trials,5439,Bannockburn,IL
Gloucestershire Royal Hospital NHS Foundation Trust,3788,Gloucester,Gloucestershire
goBalto,3470,San Francisco,CA
Gold Coast University Hospital,5603,Southport,
GP4Research,3828,Gdansk,PL
Granger Medical Clinic,5713,Riverton,UT
"Great Lakes Medical Research, LLC",2642,Westfield,NY
Great Lakes Clinical Trials,2884,Chicago,Illinois
"Great Lakes Medical Research, LLC",2643,Mentor,OH
Great Plains Medical Research Foundation,3565,Sioux Falls,SD
Greater Gift,5495,Winston Salem,NC
Greater Los Angeles Veterans Research and Education Foundation,5866,Los Angeles,CA
GREATER POLAND CANCER CENTER,2808,POZNAN,
Greenphire,3400,King of Prussia,PA
GREENSLOPES PRIVATE HOSPITAL,2809,GREENSLOPES,
Griffith University,4200,Queensland,
GRUPO MEDICO CAMINO SC,3686,mexico city,mexico
Guardian Angel Research Center,6111,Tampa,FL
Gulf Coast Eye Institute,5788,McAllen,TX
Gulfcoast Clinical Research Center,2701,Fort Myers,FL
Gulfcoast Research Institute,4168,Sarasota,FL
"GutHealth Network, Dunedin School of Medicine, University of Otago",4202,,
GW HOSPITAL WASHINGTON DC,2810,UPPER MARLBORO,MD
Gwinnett Biomedical Research,2558,Lawrenceville,GA
Gwinnett Research Institute,6014,Buford,GA
GWT-TUD GmbH,3198,Dresden,Sachsen
H&F Partnership,4062,West Kensington,London
Hackensack meridian health,5987,Hackensack,NJ
"Haematology Clinical Research Unit, Concord Hospital",4207,,Adelaide
Haematology Clinical Trials Royal Adelaide Hospital,3646,Adelaide,SA
"Haematology Clinical Trials, Eastern Health Clinical School, Monash, University",3893,Box hill,VIC
Hamilton Allergy,5651,Hamilton,ON
Hampshire Hospitals,3796,Winchester,Hampshire
Hampton Family Practice,3958,Hampton,Virginia
Hanyang University Hospital,4178,Seoul,
Harmony Clinical Research Inc,3895,Aventura,FL
"Harmony Medical Research Institute, Inc",3926,Hialeah,Florida
HAROUN HOSPITAL,2811,BEIRUT,
Hartford HealthCare,5916,Hartford,CT
HARVARD SCHOOL OF PUBLIC HEALTH,2812,BOSTON,MA
HCA | Hospital Corporation of America,2704,Nashville,TN
Headlands Research,4191,Corte Madera,CA
"Health Awareness, Inc.",3457,Jupiter,Florida
Health Businsss Group,5815,Boston,MA
Health Care Family Rehab & Research Center,3655,Hialeah,Florida
Health Care Global Enterprises Ltd.,3300,Bengaluru,Karnataka
"Health Initiatives Research, PLLC",4543,Fayetteville,Alaska
health management board,5612,warri,
Health Quest Systems- Division of Clinical Research,5551,Poughkeepsie,NY
Health Research Authority,4093,London,.
"Health Reserach of Hampton Roads, Inc.",5856,Newport News,VA
Health Sciences North Research Institute,3945,Sudbury,ON
HealthCare Global Enterprises Limited,3210,Bangalore,Karnataka
Healthcare Research Network - Chicago,4559,Blue Island,Illinois
Healthcare Research Network - St. Louis,4558,Hazelwood,Michigan
HealthCarePoint,3471,Cedar Park,TX
HealthMatch,5971,Darlinghurst,NSW
Healthstar Research,3248,Hot Springs,Arizona
Heart of America Eye Care,3674,Shawnee Mission,Kansas
"Heartland Research Associates, LLC, AMR",4335,Wichita,Kansas
Helios Erfurt,5874,Erfurt,
"Helix Biomedics, LLC",2906,Boynton Beach,FL
Hem-Onc (Hematology Oncology) Associates Of The Treasure Coast,3366,Port St. Lucie,FL
Herefordshire and Worcestershire Research Consortium,4094,Worcester,Worcestershire
Highlands Oncology Group,3970,Fayetteville,Arkansas
Hightower Clinical,4084,Oklahoma City,OK Oklahoma
Hillcrest Family Health Center,3004,Waco,Texas
HIMA San Pablo Caguas,3889,Caguas,PR
"Hippocrates Clinical Research, LLC",3163,Hialeah,Florida
HJF,4120,Bethesda,MD
HOFSTRA NORTH SHORE-LIJ SCHOOL OF MEDICINE,2813,NEW HYDE PARK,NY
Holston Medical Group,5785,Kingsport,TN
Holy Name Medical Center,4172,Teaneck,NJ
Hometown Urgent Care and Research,2456,Columbus,OH
Hong Kong Center for Clinical Research,5664,Hong Kong,
Hong Kong Eye Hospital,3301,Ma Tau Wai,Hong Kong
HonorHealth Research Institute,3065,Scottsdale,AZ
Hope Cancer Center of East Texas,4216,Tyler,Tx
"Hope Clinical Research, Inc",4188,Canoga Park,California
HOPITAL DUPUYTREN,2814,LIMOGES,
HOPITAL EMMANUEL RAIN,2815,GONESSE,
Horizon Clinical Research Group,5702,Sugar Land,TX
Horizon Oncology Research,3949,Lafayette,IN
Horizon Research Group LLC,3414,Coral Gables,FL
"Horizon Research Partners, LLC",3660,Mobile,AL
HOSPITAL AERONAUTICO CENTRAL,2816,BUENOS AIRES,
HOSPITAL CHURRUCA VISCA,2817,BUENOS AIRES,
HOSPITAL CORDOBA,2818,CORDOBA,
Hospital da Luz Learning Health,6133,Lisboa,
HOSPITAL DO ESPIRITO SANTO - EVORA,2819,EVORA,
Hospital d'Vall Hebron,5719,"P.Vall hebron, 119-129",Barcelona
"Hospital for NASU, Dep. of Endocrine Gynecology",3302,,
"HOSPITAL GENERAL DE CATALUNYA; Unitat d´Ínvestigatió Clínica, SL",3303,Barcelona,Spain
HOSPITAL GUILLERREO ALMENDRA,2820,LIMA,
Hospital Luis Vernaza,4555,Guayaquil,Guayas
Hospital Metropolitano,4556,Quito,Pichincha
HOSPITAL MILITAR DR CARLOS ARVELO,2821,CARACAS,
HOSPITAL NA BULOVCE,2822,PRAGUE,
HOSPITAL OF BOLZANO,2823,BOLZANO,
HOSPITAL ONCOLOGICO PROVINCIAL,2824,CORDOBA,
HOSPITAL PRIVADO,2825,SAN LUIS,
Hospital Regional Carlos Haya,5720,,Malaga
Hospital Teodoro Maldonado Carbo,4557,Guayaquil,Guayas
Hospital Universitario Vall de Hebron,3601,Barcelona,Barcelona
Hospital Universitario Virgen del Rocío / Servicio de Oncologia,3304,,Sevilla 
"Houston Center for Clinical Research, LLC",3176,Sugar Land,Texas
"Houston VA Research and Education Foundation, Inc.",3525,Houston,TX
Hoveton and Wroxham Medical Practice,3998,Norwich,Norfolk
"Howard County Center for Lung and Sleep Medicine,",5204,Columbia,Maryland
Hu,6128,San Francisco,CA
Hualien Tzu Chi Hospital,5596,,
Hull & East Yorkshire Hospitals NHS Trust,3775,Hull,East Yorkshire
Humanitas Cancer Center Rozzano,5715,Milano,
Humanitas Research Hospital IBD Center,4223,Rozzano,
HUMBER RIVER HOSPITAL,2826,TORONTO,ON
Hunter Medical Research Institute,5748,New Lambton NSW 2305,
Huntington Hospital,4632,,
Huntington Institute for Research and Education,3526,Huntington,WV
Hutchinson Clinic,4169,Hutchinson,KS
Hylant Cincinnati,2521,Cincinnati,OH
HYOSUNG HOSPITAL,2827,DAEGU,
hyperCORE International,6081,Columbus,GA
"IACT Health (SERRG, Inc)",2501,Cataula,GA
IAOCR Ltd,5878,Bray,Berkshire
Icon Cancer Care,5986,South Brisbane,
Icon Clinical Research,5964,Sydney,
ICON Clinical Research PLC,3205,,
Icon Institute of Innovation and Research,3456,South Brisbane,Queensland
Idaho Veterans Research and Education Foundation,3504,Boise,ID
Ideal Clinical Research,4525,Aventura,FL
IdeaMed Research,4123,Katowice,slaskie
Illawarra Health and Medical Research Institute,3132,Wollongong,NSW
ILLINGWORTH RESEARCH GROUP (AUSTRALIA) PTY LTD,5978,Macclesfield,Cheshire
IMA Research,5659,St. Petersburg,FL
I-Mab Biopharma,5524,Rockville,MD
"IMIC, Inc.",2672,Miami,FL
Impact Research Institute,6075,Waco,TX
Imperial Clinical Research Services,3472,Grand Rapids,MI
Imperial College Healthcare NHS Trust,3759,London,North West London
Inato,5828,,
Incannex Healthcare Ltd,5997,3172,Victoria
Indago Research & Health Center,5711,Hialeah,FL
"Indiana Institute for Medical Research, Inc.",3527,Indianapolis,IN
Indiana University School of Dentistry,5920,Indianapolis,IN
Indo-soviet friendship college of pharmacy,5692,moga,Select a State or Province
Industry CRN NW London,4195,London,England
Infectious Disease Specialist of Atlanta,3612,Decatur,Georgia
Infectious Diseases Associates of Central Virginia,5593,Lynchburg,VA
Infinite Clinical Trials,5789,Riverdale,GA
Infinity Clinical Research,5539,Hollywood,FL
Infinity Medical Research,3087,North Dartmouth,MA
Infusion Associates,5899,Grand Rapids,MI
Injury Care Research,5862,Meridian,ID
Innova Clinical Trials,2904,Miami,FL
Innovaderm Research,5843,Montreal,QC
"Innovative Research of West Florida, Inc.",5638,Clearwater,FL
Inova Fairfax Medical Campus-Dept of Surgery,5646,Falls Church,VA
Inova Heart & Vascular Institute (IVHI) Cardiac Research Department,3811,Fairfax,VA
INOVIEM SCIENTIFIC SAS,5999,ILLKIRCH-GRAFFENSTADEN,
Inquest Clinical Research,3637,Cyprus,Tx
"In-Quest Medical Research, LLC - RxTrials",2538,Norcross,GA
Insearch Site Network,4791,Tampa,FL
Insight Clinical Trials,5657,Beachwood,OH
Inspira Clinical Research,3888,San Juan,Pr
Institut de l'oeil des Laurentides,3405,Boisbriand,Qc
Institut für Experimentelle Hämatologie und Transfusionsmedizin‘,3305,Hamburg,
"Institute for Clinical Research, Inc.",3572,Washington,DC
Institute of Cardiology,4251,Warszawa,Poland
Institute of Gerontology named after D.F. Chebotarev NAMS Ukraine,5724,Kyiv,NA
INSTITUTE OF ONCOLOGY VILNIUS UNIVERSITY,2828,VILNIUS,
Instituto CO,3386,Av. das Américas,Barra da Tijuca
"Instituto COI de Pesquisa, Educação e Gestão",3387,Rio de Janeiro,RJ
Instituto de Investigacion en Ciencias Medicas,3249,Mexico City,
INSTITUTO DE ONCOLOG A DE ROSARIO,2829,ROSARIO,
Instituto Médico Platense,3614,La PLata,Buenos Aires
INSTITUTO NACIONAL CANCEROLOGIA,2830,BOGOTA,
Instituto Oncológico Dr. Rosell,4244,Barcelona,
Instytut Matki i Dziecka,4133,Warszawa,PL
INTEGRAL - Clinical Trials Solutions,6121,PEMBROKE PINES,FL
"Integrated Clinical Trial Services, Inc.",2757,West Des Moines,IA
"INTEGRATED NEUROLOGY SERVICES, LLC",5984,Falls Church,VA
"Integrative Clinical Trials, LLC",3209,Brooklyn,NY
Integrative Research Associates,5532,Fort Lauderdale,FL
IntegReview IRB,2988,Austin,TX
Integris Heart Hospital,3250,Oklahoma City,Oklahoma
INTEGRITY CLINICAL RESEARCH CENTER INC,3675,HIALEAH,FL
Inteliquet,5767,Berkey,OH
"Intend Research, LLC",3962,Norman,Oklahoma
Intermountain Clinical Research,4407,Draper,Utah
Internal Medicine & Dementia Research Unit,5079,BRISBANE,Queensland
Internal Medicine and Dementia Research The Prince Charles Hospital,3352,Chermside,Qld
"International Dermatology Research, Inc.",2921,Miami,FL
"International Research Associates, LLC",3505,Miami,Florida
International Research Network,5473,Sofia,
Interspond,3368,San Marcos,TX
Intrepid Research,5709,Cincinnati,OH
"Invesclinic U.S.,LLC",4252,McAllen,TX
Investigacion Biomedica para el Desarrollo de Fármacos SA de CV,2756,El Salto,Jalisco
Investigaciones Medicas en salud,2773,Lima,Lima
Investigate MD,6135,Scottsdale,AZ
Investigational Cancer Therapeutics Dept at MD Anderson Cancer Center,3156,Houston,TX
Investigator Support Services,5804,Chicago,IL
"Ionis Pharmaceuticals, Inc.",6012,Carlsbad,CA
Iowa City VA Medical Research Foundation,3528,Iowa City,IA
Iowa Clinic,4180,West Demoines,IA
IPO Porto,3192,Porto,Porto
IPS Research Company,2447,Oklahoma City,OK
IQVIA,6060,Portland,OR
IQVIA,2725,Atlanta,GA
IRCCS National Cancer Institute,3616,Milano,MI
Ironwood Cancer and Research Centers,2740,Chandler,AZ
Irvine Clinical Research,2712,Irvine,CA
ISPL Wieslaw Jerzy Cubala,2987,KOJETANY,
it Medical Team Sp. z o.o.,4134,Bielsko-Biala,PL
Ivano-Frankivsk central city clinical hospital,4109,Ivano-Frankivsk,Ivano-Frankivsk
"J. Lewis Research, Inc.",3038,SLC,UT
Jacinto Medical Group PA,3052,Baytown,Texas
Jacksonville Center for Clinical Research (ENCORE Research Group),2577,Jacksonville,FL
Janssen,3473,Titusville,New Jersey
Janus Center for Psychiatric Research,2372,West Palm Beach,FL
Javara,5553,Winston Salem,NC
Javara Inc.,5823,Sugar Land,TX
Jávorszky Hospital,4030,Vác,
JBCP,5589,Jeonju-si,Jeollabuk-do
Jean Brown Research,3040,Salt Lake City,Utah
Jefferson City Medical Group,4167,Jefferson City,MO
JEM Research Institute,5707,Lake Worth,FL
Jesscan Medical Research,3175,Miami,FL
JIANGSU CANCER HOSPITAL,2831,NAJING,
Joel Liem Medicine Professional Corp,3006,Windsor,Ontario
JOHANNITER KRANKENHAUS,2832,DUISBURG,
"John A. Whitfield, M.D., F.A.C.O.G, P.A.",3589,Fort Worth,Texas
John Theurer Cancer Center,3619,Hackensack,New Jersey
Johnson County Clin-Trials,3483,Lenexa,KS
Jongaie Research,5685,Pretoria,Gauteng
Jordan Valley Dermatology Center,3035,West Jordan,Utah
JPLRC,6023,Jupiter,FL
Jupiter Medical Center Clinical Research Department,4233,Jupiter,Fl
JUTRIX Egészségügyi Kft,4035,Kecskemét,
Kadlec Regional Medical Center,3953,Kennewick,WA
Kaiser Foundation,3354,El Cerrito,Ca
Kalo Clinical Research,5571,Salt Lake City,UT
"KANGBUK SAMSUNG MEDICAL CENTER, SUNGKYUNKWAN UNIVERSITY",2833,SEOUL,
Kaohsiung Chang Gung Memorial Hospital,4166,Taichuna,
Kaohsiung Medical University Chung-Ho Memorial Hospital,3846,Kaohsiung City,
Kaohsiung Veteran General Hospital,3306,Taichuna,
Kaohsiung Veterans General Hospital,3847,Kaohsiung City,
KaRa Institute of Neurological Diseases Pty Ltd,4148,"Wahroonga, NSW",
Katie Test,3671,,
KAUNAS ONCOLOGY HOSPITAL,2834,KAUNAS,
KAZAN CITY ONCOLOGY CLINIC,2835,KAZAN,
KCGI,4179,Seoul,
KCRN Research,5699,Germantown,MD
KEMRI,6137,Kisumu,Nyanza
Kentucky Pediatric Adult Research,2944,Bardstown,KY
Keogh Institute for Medical Research,3307,brisbane,
"Kernodle Clinic, Dept. of the Private Diagnostic Clinic, PLLC",5894,Burlington,NC
